page_id,page_type,url,profile,run,row_status,fetch_time_utc,lighthouse_version,browser_user_agent,final_url,performance_score_0_100,accessibility_score_0_100,lcp_ms,interaction_lab_proxy,tbt_ms,cls,ttfb_ms,fcp_ms,speed_index_ms,total_transfer_bytes,javascript_transfer_bytes,unused_javascript_bytes,image_transfer_bytes,font_transfer_bytes,main_thread_ms,script_evaluation_ms,javascript_bootup_ms,long_task_count,max_long_task_ms,layout_shift_count,network_rtt_ms,network_throughput_kbps,cpu_slowdown_multiplier,accessibility_failure_count,accessibility_failure_ids,telemetry_block_patterns,telemetry_block_verified,telemetry_network_records_seen,telemetry_completed_request_count,command_exit_code,error
homepage,homepage,https://www.suvroghosh.in/,mobile,1,VERIFIED_LAB_RUN_TELEMETRY_BLOCKED,2026-08-06T07:53:56.158Z,13.4.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.0.0 Safari/537.36",https://www.suvroghosh.in/,94,100,2511.82,Total Blocking Time (navigation-lab proxy; INP requires field interaction data),14,0,177,2083.32,3481.93,314761,101904,0,1033,165956,1524.6,411.42,388.94,3,234,0,150,1638.4,4,0,,*/_vercel/insights/*|*/_vercel/speed-insights/*|*vercel-insights.com/*|*vercel-analytics.com/*|*vercel-scripts.com/*,YES,0,0,0,
homepage,homepage,https://www.suvroghosh.in/,mobile,2,VERIFIED_LAB_RUN_TELEMETRY_BLOCKED,2026-08-06T07:54:15.110Z,13.4.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.0.0 Safari/537.36",https://www.suvroghosh.in/,97,100,2014.54,Total Blocking Time (navigation-lab proxy; INP requires field interaction data),17.5,0.0504,174,1757.04,3407.74,314344,102300,0,892,165962,1712.68,394.97,375.28,2,302,1,150,1638.4,4,0,,*/_vercel/insights/*|*/_vercel/speed-insights/*|*vercel-insights.com/*|*vercel-analytics.com/*|*vercel-scripts.com/*,YES,0,0,0,
homepage,homepage,https://www.suvroghosh.in/,mobile,3,VERIFIED_LAB_RUN_TELEMETRY_BLOCKED,2026-08-06T07:54:34.762Z,13.4.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.0.0 Safari/537.36",https://www.suvroghosh.in/,99,100,1386.84,Total Blocking Time (navigation-lab proxy; INP requires field interaction data),19.5,0.0504,184,1386.84,1652.35,314375,102178,0,871,166107,1606.52,318.5,293.45,3,215,1,150,1638.4,4,0,,*/_vercel/insights/*|*/_vercel/speed-insights/*|*vercel-insights.com/*|*vercel-analytics.com/*|*vercel-scripts.com/*,YES,0,0,0,
homepage,homepage,https://www.suvroghosh.in/,desktop,1,VERIFIED_LAB_RUN_TELEMETRY_BLOCKED,2026-08-06T07:54:52.650Z,13.4.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.0.0 Safari/537.36",https://www.suvroghosh.in/,100,100,497.94,Total Blocking Time (navigation-lab proxy; INP requires field interaction data),0,0.0601,65,420.94,678.52,506081,102046,0,1015,357529,464.88,94.89,51.96,1,76,2,40,10240,1,1,label-content-name-mismatch,*/_vercel/insights/*|*/_vercel/speed-insights/*|*vercel-insights.com/*|*vercel-analytics.com/*|*vercel-scripts.com/*,YES,0,0,0,
homepage,homepage,https://www.suvroghosh.in/,desktop,2,VERIFIED_LAB_RUN_TELEMETRY_BLOCKED,2026-08-06T07:55:11.347Z,13.4.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.0.0 Safari/537.36",https://www.suvroghosh.in/,100,100,535.01,Total Blocking Time (navigation-lab proxy; INP requires field interaction data),0,0.0602,68,455.01,600.09,505889,102256,0,875,357540,415.91,80.54,32.99,1,62,3,40,10240,1,1,label-content-name-mismatch,*/_vercel/insights/*|*/_vercel/speed-insights/*|*vercel-insights.com/*|*vercel-analytics.com/*|*vercel-scripts.com/*,YES,0,0,0,
homepage,homepage,https://www.suvroghosh.in/,desktop,3,VERIFIED_LAB_RUN_TELEMETRY_BLOCKED,2026-08-06T07:55:28.516Z,13.4.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.0.0 Safari/537.36",https://www.suvroghosh.in/,100,100,526.69,Total Blocking Time (navigation-lab proxy; INP requires field interaction data),0.5,0.0009,856,449.19,1122.86,505898,102149,0,842,357581,524.48,97.25,49.4,1,85,1,40,10240,1,1,label-content-name-mismatch,*/_vercel/insights/*|*/_vercel/speed-insights/*|*vercel-insights.com/*|*vercel-analytics.com/*|*vercel-scripts.com/*,YES,0,0,0,
resume,resume,https://www.suvroghosh.in/resume,mobile,1,VERIFIED_LAB_RUN_TELEMETRY_BLOCKED,2026-08-06T07:55:46.891Z,13.4.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.0.0 Safari/537.36",https://www.suvroghosh.in/resume,97,95,2270.06,Total Blocking Time (navigation-lab proxy; INP requires field interaction data),44,0,46,1819.87,1966.01,2084691,1482417,0,8876,248226,1341.14,181.88,149.62,3,167,0,150,1638.4,4,1,color-contrast,*/_vercel/insights/*|*/_vercel/speed-insights/*|*vercel-insights.com/*|*vercel-analytics.com/*|*vercel-scripts.com/*,YES,0,0,0,
resume,resume,https://www.suvroghosh.in/resume,mobile,2,VERIFIED_LAB_RUN_TELEMETRY_BLOCKED,2026-08-06T07:56:06.556Z,13.4.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.0.0 Safari/537.36",https://www.suvroghosh.in/resume,95,95,2217.91,Total Blocking Time (navigation-lab proxy; INP requires field interaction data),167.5,0,487,1767.78,2837.2,1544219,1004299,0,8683,248139,2066.5,269.98,233.54,6,226,0,150,1638.4,4,1,color-contrast,*/_vercel/insights/*|*/_vercel/speed-insights/*|*vercel-insights.com/*|*vercel-analytics.com/*|*vercel-scripts.com/*,YES,0,0,0,
resume,resume,https://www.suvroghosh.in/resume,mobile,3,VERIFIED_LAB_RUN_TELEMETRY_BLOCKED,2026-08-06T07:56:27.999Z,13.4.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.0.0 Safari/537.36",https://www.suvroghosh.in/resume,58,95,8253.02,Total Blocking Time (navigation-lab proxy; INP requires field interaction data),0,0,146,7878.02,7878.02,1542820,1004581,0,8570,248066,1341.2,207.21,174.98,5,221,0,150,1638.4,4,1,color-contrast,*/_vercel/insights/*|*/_vercel/speed-insights/*|*vercel-insights.com/*|*vercel-analytics.com/*|*vercel-scripts.com/*,YES,0,0,0,
resume,resume,https://www.suvroghosh.in/resume,desktop,1,VERIFIED_LAB_RUN_TELEMETRY_BLOCKED,2026-08-06T07:56:48.575Z,13.4.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.0.0 Safari/537.36",https://www.suvroghosh.in/resume,91,96,1440.96,Total Blocking Time (navigation-lab proxy; INP requires field interaction data),0,0.0013,41,1364.64,1364.64,1874385,1028591,0,124537,439679,485.94,63.01,11.59,1,78,3,40,10240,1,2,color-contrast|label-content-name-mismatch,*/_vercel/insights/*|*/_vercel/speed-insights/*|*vercel-insights.com/*|*vercel-analytics.com/*|*vercel-scripts.com/*,YES,0,0,0,
