date_local,visitors_daily_unique,page_views,views_per_daily_visitor,partial_day,source,status
2026-07-09,21,62,2.95,true,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-10,13,36,2.77,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-11,32,78,2.44,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-12,40,134,3.35,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-13,30,106,3.53,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-14,24,49,2.04,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-15,25,108,4.32,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-16,26,848,32.62,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-17,36,330,9.17,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-18,43,177,4.12,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-19,76,208,2.74,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-20,80,227,2.84,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-21,49,138,2.82,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-22,38,77,2.03,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-23,67,118,1.76,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-24,22,116,5.27,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-25,43,83,1.93,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-26,38,93,2.45,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-27,11,11,1,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-28,22,30,1.36,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-29,32,63,1.97,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-30,14,26,1.86,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-07-31,28,37,1.32,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-08-01,24,37,1.54,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-08-02,27,48,1.78,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-08-03,26,49,1.88,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-08-04,20,26,1.3,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-08-05,18,41,2.28,false,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
2026-08-06,7,38,5.43,true,Vercel Web Analytics chart labels,OBSERVED; daily visitors are not additive across dates
