path,visitors,visitors_display,page_views_estimate,page_views_display,page_views_precision,visitor_share,window,status
/blog,296,296,1400,1.4K,ROUNDED_UI_ESTIMATE,19%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/,150,150,327,327,EXACT_UI_LABEL,9%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/writing,34,34,63,63,EXACT_UI_LABEL,2%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/visualizations/hello-fragment-your-first-shader-from-scratch,19,19,31,31,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/mojollm/perceptron-from-scratch-in-mojo,17,17,28,28,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/visualizations/create-art-living-pigment-studio,16,16,29,29,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/resume,16,16,20,20,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/images/sketches,15,15,61,61,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/polemic/ai-leaderboard-ichor,14,14,16,16,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/personal-essay/the-century-has-a-hole-in-it,13,13,13,13,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/images,13,13,33,33,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/personal-essay/one-program-at-a-time,11,11,13,13,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/consulting,11,11,12,12,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/start-here,11,11,16,16,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/artificial-intelligence/open-ai-astra-broke-mathematics,10,10,15,15,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/computer-science/algorithmic-complexity-in-the-age-of-ai,10,10,11,11,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/essay/subscription-to-oblivion,10,10,12,12,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/games/calcutta-footpath-simulator-ekdom-side-diye-jaan,10,10,12,12,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/monologue/the-curriculum-vitae-of-a-vanishing-man,10,10,11,11,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/topics/ai,10,10,15,15,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/visualizations/artificial-life-lab-evolve-a-digital-ecosystem-in-your-browser,10,10,14,14,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/visualizations/spacetime-laboratory-einstein-equations,10,10,15,15,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/contact,10,10,14,14,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/engineering-blog/mojo-the-python-killer,9,9,16,16,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/mathematics/the-axiom-of-linearity,9,9,11,11,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/personal-essay/the_marrow_of_existence,9,9,11,11,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/video/mysteries-of-mental-illness-pbs-documentary-series,9,9,9,9,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/visualizations,9,9,13,13,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/visualizations/hello-observable-your-first-living-d3-visualization,9,9,11,11,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/visualizations/monte-carlo-laboratory,9,9,10,10,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/projects,9,9,10,10,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/archive/2026,8,8,15,15,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/economics/kenneth-arrow-medical-care,8,8,11,11,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/essay/arachnoid-in-the-boondocks,8,8,8,8,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/healthcare/nightmare-of-indian-healthcare,8,8,8,8,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/mojollm/xor-with-multiple-perceptrons-in-mojo,8,8,9,9,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/personal-essay/democracy_on_installments,8,8,8,8,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/science/spudcell-and-the-border-of-life,8,8,8,8,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/short-fiction/hanging-season,8,8,8,8,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/short-fiction/the-berry-eater,8,8,8,8,EXACT_UI_LABEL,1%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/ai-economics/ai-layoff-trap-firing-your-customers,7,7,7,7,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/essay/the-thermodynamics-of-envy,7,7,7,7,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/healthcare-science/find-study-diabetes-kidney-family-tree,7,7,7,7,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/mathematics/the-alimentary-residue-of-infinity,7,7,8,8,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/mental-health/the-erasure-is-a-palimpsest,7,7,7,7,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/personal-essay/calcutta_morning_malaise,7,7,8,8,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/personal-essay/groundhog-cud,7,7,9,9,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/personal-essay/rath-yatra-recursion,7,7,7,7,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/personal/the-miasma-of-mistakes,7,7,7,7,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/polemic/capex-and-the-geometry-of-obsolescence,7,7,7,7,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/short-fiction/holding,7,7,7,7,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/short-fiction/neel-soda,7,7,7,7,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/short-fiction/the-new-shop,7,7,8,8,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/topics/music,7,7,8,8,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/visualizations/domain-coloring-complex-functions-explorer,7,7,10,10,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/visualizations/the-neuron-zoo,7,7,10,10,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/ai-safety/premature-llm-deployment-clinical-trials-ai-safety,6,6,6,6,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/career/the-new-mantra,6,6,8,8,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/engineering-blog/sql-or-sequel-the-immortal-language-of-data,6,6,8,8,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/essay/lumpy-edge-of-bijon-setu,6,6,7,7,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/essay/rictus-calcuttensis,6,6,6,6,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/essay/the-tea-cools-to-the-temperature-of-defeat,6,6,6,6,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/essay/the-urine-of-discontent,6,6,6,6,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/essay/the_gastric_gospel_of_generative_regurgitation,6,6,6,6,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/healthcare-it/chatgpt-enters-healthcare-compliance-is-the-easy-part,6,6,6,6,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/india/india-ai-it-bpo-white-collar-jobs,6,6,7,7,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/math/lu-factorization,6,6,6,6,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/mental-health/sinusoidal-dementia,6,6,7,7,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/monologue/the-student-model-eats-the-teacher,6,6,7,7,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/personal-essay/constipated-americans-diarrhoea,6,6,8,8,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/personal-essay/saturday-mathematics-and-the-end-of-usefulness,6,6,6,6,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/personal-essay/the-atrophy-of-attention,6,6,6,6,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/personal-essay/the-cephalalgia-chronicles,6,6,6,6,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/personal-essay/the-glandular-weather-of-july-fifteenth,6,6,6,6,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/personal/containment-breach-protocol,6,6,6,6,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/short-fiction/the-citys-ai-has-depression,6,6,6,6,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/short-fiction/the-idol-who-dreamed-of-blood,6,6,6,6,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/topics,6,6,6,6,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/topics/india,6,6,8,8,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/video/screenagers-growing-up-in-the-digital-age,6,6,6,6,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/visualizations/brownian-motion-laboratory,6,6,8,8,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/visualizations/gradient-descent-landscapes,6,6,34,34,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/artificial-intelligence/the-unlearning-cartography,5,5,7,7,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/calcutta/the-zeitgeist-of-calcutta-has-changed,5,5,7,7,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/education/english-is-not-a-subject-it-is-a-passport,5,5,5,5,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/essay/resignare,5,5,5,5,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/essay/the-alpine-glow-of-embezzlement,5,5,6,6,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/essay/the-flatulent-exhalation-of-being,5,5,5,5,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
/blog/essay/the_pharmakon_of_woodlice,5,5,5,5,EXACT_UI_LABEL,<0.5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
