referrer,visitors,page_views,listed_referrer_share,window,status
google.com,7,9,37%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
duckduckgo.com,2,2,11%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
linkedin.com,2,2,11%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
ntp.msn.com,2,3,11%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
youtube.com,2,2,11%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
bing.com,1,1,5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
com.linkedin.android,1,2,5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
suvroghosh.substack.com,1,1,5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
vercel.com,1,1,5%,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,OBSERVED
[UNLISTED_OR_NO_REFERRER],,,,same window,NOT QUANTIFIED BY AVAILABLE VERCEL TABLE; DO NOT LABEL AS DIRECT
