raw_path,raw_url,analytics_status,canonical_url,reconciliation_status,mapping_evidence,live_http_status,live_redirect_hops,live_final_url,canonical_technically_eligible,visitors_28d_raw,page_views_estimate_28d_raw,page_views_precision_raw,canonical_group_member_count,canonical_group_paths,canonical_visitors_28d_conservative_max_not_sum,canonical_visitors_28d_raw_sum_not_used,canonical_page_views_28d_conservative_max_not_sum,canonical_page_views_28d_raw_sum_not_used,canonical_page_views_precision,canonical_group_representative,window,caveat
[REDACTED_ACCOUNT_OR_OWNER_ROUTES],,AGGREGATED_REDACTED_NON_UNIQUE,,EXCLUDED_AGGREGATED_NON_UNIQUE,SANITIZED_SOURCE_AGGREGATE,,,,,12,29,AGGREGATED_EXACT_UI_LABEL,,,,,,,,,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,Sanitized non-unique aggregate excluded from every canonical total.
/blog/comic/the-last-analog-town/the-efficiency-inspector,https://www.suvroghosh.in/blog/comic/the-last-analog-town/the-efficiency-inspector,OBSERVED,,UNMATCHED_PUBLIC_PATH,NO_ACCEPTED_CRAWL_MATCH,,,,,1,1,EXACT_UI_LABEL,,,,,,,,,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,No accepted-crawl canonical or alias match; a historical analytics path is not proof of a current 404 or deletion.
/blog/math/lu-factorization,https://www.suvroghosh.in/blog/math/lu-factorization,OBSERVED,,UNMATCHED_PUBLIC_PATH,NO_ACCEPTED_CRAWL_MATCH,,,,,6,6,EXACT_UI_LABEL,,,,,,,,,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,No accepted-crawl canonical or alias match; a historical analytics path is not proof of a current 404 or deletion.
/,https://www.suvroghosh.in/,OBSERVED,https://www.suvroghosh.in/,CANONICAL_SELF,URL_INVENTORY_FINAL | URL_INVENTORY_REQUESTED,200,0,https://www.suvroghosh.in/,true,150,327,EXACT_UI_LABEL,1,/,150,150,327,327,EXACT_UI_LABEL,true,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,"Canonical group uses maxima, never sums; route visitors overlap and the Vercel data remains automation-contaminated."
/blog,https://www.suvroghosh.in/blog,OBSERVED,https://www.suvroghosh.in/blog,CANONICAL_SELF,URL_INVENTORY_FINAL | URL_INVENTORY_REQUESTED,200,0,https://www.suvroghosh.in/blog,true,296,1400,ROUNDED_UI_ESTIMATE,1,/blog,296,296,1400,1400,ROUNDED_UI_ESTIMATE,true,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,"Canonical group uses maxima, never sums; route visitors overlap and the Vercel data remains automation-contaminated."
/blog/ai,https://www.suvroghosh.in/blog/ai,OBSERVED,https://www.suvroghosh.in/blog/ai,CANONICAL_SELF,URL_INVENTORY_FINAL | URL_INVENTORY_REQUESTED,200,0,https://www.suvroghosh.in/blog/ai,true,3,4,EXACT_UI_LABEL,1,/blog/ai,3,3,4,4,EXACT_UI_LABEL,true,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,"Canonical group uses maxima, never sums; route visitors overlap and the Vercel data remains automation-contaminated."
/blog/ai-and-society/the-tea-stall-as-an-anti-ai-safety-system,https://www.suvroghosh.in/blog/ai-and-society/the-tea-stall-as-an-anti-ai-safety-system,OBSERVED,https://www.suvroghosh.in/blog/ai-and-society/the-tea-stall-as-an-anti-ai-safety-system,CANONICAL_SELF,URL_INVENTORY_FINAL | URL_INVENTORY_REQUESTED,200,0,https://www.suvroghosh.in/blog/ai-and-society/the-tea-stall-as-an-anti-ai-safety-system,true,2,2,EXACT_UI_LABEL,1,/blog/ai-and-society/the-tea-stall-as-an-anti-ai-safety-system,2,2,2,2,EXACT_UI_LABEL,true,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,"Canonical group uses maxima, never sums; route visitors overlap and the Vercel data remains automation-contaminated."
/blog/ai-economics/ai-layoff-trap-firing-your-customers,https://www.suvroghosh.in/blog/ai-economics/ai-layoff-trap-firing-your-customers,OBSERVED,https://www.suvroghosh.in/blog/ai-economics/ai-layoff-trap-firing-your-customers,CANONICAL_SELF,URL_INVENTORY_FINAL | URL_INVENTORY_REQUESTED,200,0,https://www.suvroghosh.in/blog/ai-economics/ai-layoff-trap-firing-your-customers,true,7,7,EXACT_UI_LABEL,1,/blog/ai-economics/ai-layoff-trap-firing-your-customers,7,7,7,7,EXACT_UI_LABEL,true,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,"Canonical group uses maxima, never sums; route visitors overlap and the Vercel data remains automation-contaminated."
/blog/ai-education/how-to-start-machine-learning-without-buying-magic-beans,https://www.suvroghosh.in/blog/ai-education/how-to-start-machine-learning-without-buying-magic-beans,OBSERVED,https://www.suvroghosh.in/blog/ai-education/how-to-start-machine-learning-without-buying-magic-beans,CANONICAL_SELF,URL_INVENTORY_FINAL | URL_INVENTORY_REQUESTED,200,0,https://www.suvroghosh.in/blog/ai-education/how-to-start-machine-learning-without-buying-magic-beans,true,2,2,EXACT_UI_LABEL,1,/blog/ai-education/how-to-start-machine-learning-without-buying-magic-beans,2,2,2,2,EXACT_UI_LABEL,true,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,"Canonical group uses maxima, never sums; route visitors overlap and the Vercel data remains automation-contaminated."
/blog/ai-music-song/ai_bengali_songs,https://www.suvroghosh.in/blog/ai-music-song/ai_bengali_songs,OBSERVED,https://www.suvroghosh.in/blog/ai-music-song/ai_bengali_songs,CANONICAL_SELF,URL_INVENTORY_FINAL | URL_INVENTORY_REQUESTED,200,0,https://www.suvroghosh.in/blog/ai-music-song/ai_bengali_songs,true,2,3,EXACT_UI_LABEL,1,/blog/ai-music-song/ai_bengali_songs,2,2,3,3,EXACT_UI_LABEL,true,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,"Canonical group uses maxima, never sums; route visitors overlap and the Vercel data remains automation-contaminated."
/blog/ai-safety/premature-llm-deployment-clinical-trials-ai-safety,https://www.suvroghosh.in/blog/ai-safety/premature-llm-deployment-clinical-trials-ai-safety,OBSERVED,https://www.suvroghosh.in/blog/ai-safety/premature-llm-deployment-clinical-trials-ai-safety,CANONICAL_SELF,URL_INVENTORY_FINAL | URL_INVENTORY_REQUESTED,200,0,https://www.suvroghosh.in/blog/ai-safety/premature-llm-deployment-clinical-trials-ai-safety,true,6,6,EXACT_UI_LABEL,1,/blog/ai-safety/premature-llm-deployment-clinical-trials-ai-safety,6,6,6,6,EXACT_UI_LABEL,true,2026-07-09 12:30 to 2026-08-06 13:29 Asia/Calcutta,"Canonical group uses maxima, never sums; route visitors overlap and the Vercel data remains automation-contaminated."
