sample_id,url,page_class,selection_reason,gsc_url_inspection,bing_url_inspection,indexed,last_crawl,crawler,crawl_allowed,fetch,indexing_allowed,user_declared_canonical,google_selected_canonical,referring_sitemap,referring_pages,enhancements,mobile_usability,private_screenshot_reference
UI-001,https://www.suvroghosh.in/,homepage,Primary identity and navigation hub,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-002,https://www.suvroghosh.in/blog,listing,Primary article discovery hub,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-003,https://www.suvroghosh.in/writing,listing,Writing identity hub,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-004,https://www.suvroghosh.in/resume,professional,Primary professional conversion page,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-005,https://www.suvroghosh.in/consulting,professional,Consulting intent page,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-006,https://www.suvroghosh.in/contact,conversion,Contact endpoint and conversion boundary,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-007,https://www.suvroghosh.in/start-here,hub,Curated orientation hub,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-008,https://www.suvroghosh.in/projects,professional,Project authority hub,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-009,https://www.suvroghosh.in/blog/topics,topic_hub,Topic architecture root,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
UI-010,https://www.suvroghosh.in/blog/visualizations,category_hub,Interactive laboratory hub,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION,UNVERIFIED — REQUIRES OWNER ACTION
