variant_type,requested_url,baseline_url,status,redirect_chain,final_url,canonical_url,body_content_sha256,consolidates_to_baseline,body_read_warning,error
http,http://www.suvroghosh.in/,https://www.suvroghosh.in/,200,http://www.suvroghosh.in/ | https://www.suvroghosh.in/,https://www.suvroghosh.in/,https://www.suvroghosh.in/,2cbdf72b2807786ce7847b518a900b91b928a4b8dd8a130b7e52deca3e696e5a,true,,
apex,https://suvroghosh.in/,https://www.suvroghosh.in/,200,https://suvroghosh.in/ | https://www.suvroghosh.in/,https://www.suvroghosh.in/,https://www.suvroghosh.in/,2cbdf72b2807786ce7847b518a900b91b928a4b8dd8a130b7e52deca3e696e5a,true,,
trailing_slash,https://www.suvroghosh.in/,https://www.suvroghosh.in/,200,https://www.suvroghosh.in/,https://www.suvroghosh.in/,https://www.suvroghosh.in/,2cbdf72b2807786ce7847b518a900b91b928a4b8dd8a130b7e52deca3e696e5a,true,,
query_string,https://www.suvroghosh.in/?audit_variant=1,https://www.suvroghosh.in/,200,https://www.suvroghosh.in/?audit_variant=1,https://www.suvroghosh.in/?audit_variant=1,https://www.suvroghosh.in/,2cbdf72b2807786ce7847b518a900b91b928a4b8dd8a130b7e52deca3e696e5a,true,,
trailing_slash,https://www.suvroghosh.in/contact/,https://www.suvroghosh.in/contact,200,https://www.suvroghosh.in/contact/ | https://www.suvroghosh.in/contact,https://www.suvroghosh.in/contact,https://www.suvroghosh.in/contact,c7c211c12a1130d685795b6db9b977732f640ad866dcdb22f155e544e35288ac,true,,
mixed_case,https://www.suvroghosh.in/Contact,https://www.suvroghosh.in/contact,404,https://www.suvroghosh.in/Contact,https://www.suvroghosh.in/Contact,,e7ca1e3251084f251c9ca74b086d415b71f259014e5fe9ef80afe2ce3ff85ffd,false,,
query_string,https://www.suvroghosh.in/contact?audit_variant=1,https://www.suvroghosh.in/contact,200,https://www.suvroghosh.in/contact?audit_variant=1,https://www.suvroghosh.in/contact?audit_variant=1,https://www.suvroghosh.in/contact,c7c211c12a1130d685795b6db9b977732f640ad866dcdb22f155e544e35288ac,true,,
trailing_slash,https://www.suvroghosh.in/resume/,https://www.suvroghosh.in/resume,200,https://www.suvroghosh.in/resume/ | https://www.suvroghosh.in/resume,https://www.suvroghosh.in/resume,https://www.suvroghosh.in/resume,17d6e70fda0313acda75826fa21013002363cadae7fbee8ef1e1cd2f3842f942,true,,
mixed_case,https://www.suvroghosh.in/Resume,https://www.suvroghosh.in/resume,404,https://www.suvroghosh.in/Resume,https://www.suvroghosh.in/Resume,,e7ca1e3251084f251c9ca74b086d415b71f259014e5fe9ef80afe2ce3ff85ffd,false,,
query_string,https://www.suvroghosh.in/resume?audit_variant=1,https://www.suvroghosh.in/resume,200,https://www.suvroghosh.in/resume?audit_variant=1,https://www.suvroghosh.in/resume?audit_variant=1,https://www.suvroghosh.in/resume,17d6e70fda0313acda75826fa21013002363cadae7fbee8ef1e1cd2f3842f942,true,,
trailing_slash,https://www.suvroghosh.in/consulting/,https://www.suvroghosh.in/consulting,200,https://www.suvroghosh.in/consulting/ | https://www.suvroghosh.in/consulting,https://www.suvroghosh.in/consulting,https://www.suvroghosh.in/consulting,c7e5b1b13831bdd13409af80a0ff946507cccd88e45f9912496681134a5e8c58,true,,
mixed_case,https://www.suvroghosh.in/Consulting,https://www.suvroghosh.in/consulting,404,https://www.suvroghosh.in/Consulting,https://www.suvroghosh.in/Consulting,,e7ca1e3251084f251c9ca74b086d415b71f259014e5fe9ef80afe2ce3ff85ffd,false,,
query_string,https://www.suvroghosh.in/consulting?audit_variant=1,https://www.suvroghosh.in/consulting,200,https://www.suvroghosh.in/consulting?audit_variant=1,https://www.suvroghosh.in/consulting?audit_variant=1,https://www.suvroghosh.in/consulting,c7e5b1b13831bdd13409af80a0ff946507cccd88e45f9912496681134a5e8c58,true,,
trailing_slash,https://www.suvroghosh.in/blog/,https://www.suvroghosh.in/blog,200,https://www.suvroghosh.in/blog/ | https://www.suvroghosh.in/blog,https://www.suvroghosh.in/blog,https://www.suvroghosh.in/blog,ea9d618b67dbe80359ccf95531715db265cce7b3c6402fad7e9f874c580c9ee3,true,,
mixed_case,https://www.suvroghosh.in/Blog,https://www.suvroghosh.in/blog,404,https://www.suvroghosh.in/Blog,https://www.suvroghosh.in/Blog,,e7ca1e3251084f251c9ca74b086d415b71f259014e5fe9ef80afe2ce3ff85ffd,false,,
query_string,https://www.suvroghosh.in/blog?audit_variant=1,https://www.suvroghosh.in/blog,200,https://www.suvroghosh.in/blog?audit_variant=1,https://www.suvroghosh.in/blog?audit_variant=1,https://www.suvroghosh.in/blog,ea9d618b67dbe80359ccf95531715db265cce7b3c6402fad7e9f874c580c9ee3,true,,
